id	title	description	price	condition	link	image_link	additional_image_link	availability_date	availability	brand	adult	tax
M3-bibi-mamony-2023-07-09	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	399	New	https://ipardalis.com/babies/bibi/mamony/2023-07-09/M3/	https://ipardalis.com//img/babies/20230706/M3.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-07-09	in_stock	iPardalis	No	US:MD:6.00:n
M2-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	499	New	https://ipardalis.com/babies/bibi/pepita/2023-09-21/M2/	https://ipardalis.com//img/babies/20230921/M2.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M3-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	499	New	https://ipardalis.com/babies/bibi/pepita/2023-09-21/M3/	https://ipardalis.com//img/babies/20230921/M3.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M4-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	499	New	https://ipardalis.com/babies/bibi/pepita/2023-09-21/M4/	https://ipardalis.com//img/babies/20230921/M4.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M5-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	499	New	https://ipardalis.com/babies/bibi/pepita/2023-09-21/M5/	https://ipardalis.com//img/babies/20230921/M5.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M6-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco.We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	499	New	https://ipardalis.com/babies/bibi/pepita/2023-09-21/M6/	https://ipardalis.com//img/babies/20230921/M6.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M2-dia-vaosary-2023-07-05	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Dia and Vaosary. One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females. We've included sire and dam dendrograms if available, but you can view our Dia or Vaosary breeder pages for more information.	549	New	https://ipardalis.com/babies/dia/vaosary/2023-07-05/M2/	https://ipardalis.com//img/babies/20230629/M2_1.jpg	https://ipardalis.com//img/ambilobe/diavaosary.jpg	2023-07-05	in_stock	iPardalis	No	US:MD:6.00:n
M1-dia-vaosary-2023-08-28	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Dia and Vaosary. One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females. We've included sire and dam dendrograms if available, but you can view our Dia or Vaosary breeder pages for more information.	499	New	https://ipardalis.com/babies/dia/vaosary/2023-08-28/M1/	https://ipardalis.com//img/babies/20230828/M1_1.jpg	https://ipardalis.com//img/ambilobe/diavaosary.jpg	2023-08-28	in_stock	iPardalis	No	US:MD:6.00:n
M2-dia-vaosary-2023-08-28	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Dia and Vaosary. One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females. We've included sire and dam dendrograms if available, but you can view our Dia or Vaosary breeder pages for more information.	449	New	https://ipardalis.com/babies/dia/vaosary/2023-08-28/M2/	https://ipardalis.com//img/babies/20230828/M2.jpg	https://ipardalis.com//img/ambilobe/diavaosary.jpg	2023-08-28	in_stock	iPardalis	No	US:MD:6.00:n
M3-dia-vaosary-2023-08-28	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Dia and Vaosary. One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females. We've included sire and dam dendrograms if available, but you can view our Dia or Vaosary breeder pages for more information.	549	New	https://ipardalis.com/babies/dia/vaosary/2023-08-28/M3/	https://ipardalis.com//img/babies/20230828/M3.jpg	https://ipardalis.com//img/ambilobe/diavaosary.jpg	2023-08-28	in_stock	iPardalis	No	US:MD:6.00:n
M4-dia-vaosary-2023-08-28	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Dia and Vaosary. One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females. We've included sire and dam dendrograms if available, but you can view our Dia or Vaosary breeder pages for more information.	449	New	https://ipardalis.com/babies/dia/vaosary/2023-08-28/M4/	https://ipardalis.com//img/babies/20230828/M4.jpg	https://ipardalis.com//img/ambilobe/diavaosary.jpg	2023-08-28	in_stock	iPardalis	No	US:MD:6.00:n
M6-jimanga-bumblebee-2023-07-10	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Bumblebee. This is the first combo between two of our 5th gen Ambilobe - great ybbb combo! We've included sire and dam dendrograms if available, but you can view our Jimanga or Bumblebee breeder pages for more information.	499	New	https://ipardalis.com/babies/jimanga/bumblebee/2023-07-10/M6/	https://ipardalis.com//img/babies/20230710/M6_1.jpg	https://ipardalis.com//img/ambilobe/jimangabumblebee.jpg	2023-07-10	in_stock	iPardalis	No	US:MD:6.00:n
M7-jimanga-bumblebee-2023-07-10	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Bumblebee. This is the first combo between two of our 5th gen Ambilobe - great ybbb combo! We've included sire and dam dendrograms if available, but you can view our Jimanga or Bumblebee breeder pages for more information.	549	New	https://ipardalis.com/babies/jimanga/bumblebee/2023-07-10/M7/	https://ipardalis.com//img/babies/20230710/M7_1.jpg	https://ipardalis.com//img/ambilobe/jimangabumblebee.jpg	2023-07-10	in_stock	iPardalis	No	US:MD:6.00:n
M4-jimanga-bumblebee-2023-07-10	6 Month-old YBBB Ambilobe Panther Chameleon	6 Month-old YBBB Ambilobe Panther Chameleon from Jimanga and Bumblebee. This is the first combo between two of our 5th gen Ambilobe - great ybbb combo! We've included sire and dam dendrograms if available, but you can view our Jimanga or Bumblebee breeder pages for more information.	499	New	https://ipardalis.com/babies/jimanga/bumblebee/2023-07-10/M4/	https://ipardalis.com//img/babies/20230710/M4_2.jpg	https://ipardalis.com//img/ambilobe/jimangabumblebee.jpg	2023-07-10	in_stock	iPardalis	No	US:MD:6.00:n
