Species,Sample size,Min./max. SVL (mm),Min./max. Jaw length (mm),Min./max. Max. projection distance (mm),Min./max. Min. projection duration (ms),Min./max. Max. peak velocity (m s−1),Min./max. Max. peak acceleration (m s−2),Min./max. Max. peak muscle mass-specific power (W kg−1)
Bradypodion melanocephalum,4 (17; 2–5),51/55,11.7/12.4,78.8/83.2,19.3/23.3,3.92/4.29,"920/1,100","4,920/5,840"
B. occidentale,2 (10; 5–5),92/93,20.6/21.7,94.1/117.6,25.3/28.0,3.86/4.20,561/565,"2,880/3,160"
B. pumilum,4 (18; 3–6),63/70,12.9/17.2,83.6/116.5,26.7/34.7,3.74/3.91,589/813,"3,020/4,140"
B. sp. “emerald”,5 (35; 5–10),69/88,16.3/18.7,111.1/146.7,29.0/34.0,3.66/4.59,518/944,"2,600/5,720"
B. thamnobates,6 (35; 5–10),53/96,13.3/20.1,97.1/141.6,20.0/38.7,2.91/4.27,490/907,"1,802/4,680"
Brookesia superciliaris,2 (6; 1–5),40/45,10.3/11.8,68.8/93.5,17.7/19.7,4.41/4.96,"1,350/1,400","7,920/9,080"
Calumma p. parsonii,1 (8),194,43.7,199.7,39.0,4.94,417,"2,880"
Chamaeleo calyptratus,5 (45; 5–10),125/140,30.0/34.1,101.0/195.8,26.3/39.3,3.43/4.61,305/514,"1,612/3,480"
Furcifer lateralis,1 (2),77,20.2,109.8,32.3,4.07,726,"4,080"
F. oustaleti,3 (13; 3–5),189/198,43.5/49.3,175.0/267.6,47.3/54.6,3.57/4.82,286/453,"1,410/2,980"
Kinyongia fischeri,2 (9; 4–5),103/114,23.3/24.2,177.2/179.0,37.0/41.3,4.50/4.83,580/661,"3,820/4,420"
K. tenuis,1 (8),60,15.3,101.7,12.3,4.85,"1,140","7,820"
Rhampholeon acuminatus,2 (4; 1–3),54/55,11.8/12.0,81.5/97.1,22.7/23.3,4.82/5.19,"1,170/1,300","7,720/8,840"
R. spinosus,2 (12; 4–8),47/47,11.6/11.9,111.3/116.0,18.3/22.7,5.05/5.32,"1,770/2,590","12,100/14,040"
Rieppeleon brevicaudatus,7 (17; 1–6),45/55,11.5/14.2,37.0/101.0,9.7/18.7,3.60/5.41,"1,090/1,620","5,120/11,620"
Trioceros cristatus,1 (10),108,24.3,165.5,36.7,4.70,763,"5,220"
T. hoehnelii,3 (12; 2–7),75/88,17.9/23.0,110.7/203.3,31.0/48.3,4.03/4.28,751/757,"3,480/4,500"
T. jacksonii xantholophus,1 (2),100,24.5,160.5,34.0,4.43,641,"4,140"
T. johnstoni,1 (3),115,25.2,193.0,47.7,4.60,608,"4,000"
T. montium,2 (13; 5–8),93/107,20.8/23.7,159.0/175.8,33.3/39.3,4.21/4.49,670/701,"3,920/4,560"
