sire,dam,laid,hatchstart,hatchend,hatchnum,clutchsize,maleprice,femaleprice,sire_tree,sire_doh,dam_tree,dam_doh,lineage_collage
flash,judy,2017-02-27,2017-10-17,2017-10-30,32,33,NA,NA,/blog/2015/01/10/flash/tree.png,2015/01/10,/blog/2015/02/11/judy/tree.png,2015/02/11,/img/ambilobe/flashjudy.jpg
jude,alla,2017-12-25,2019-07-09,2019-07-20,30,31,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2018-01-22,2019-08-16,2019-09-15,32,33,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,kako,2018-11-27,2019-06-05,2019-06-19,34,34,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2017/11/21/kako/tree.png,2017/11/21,/img/ambilobe/judekako.jpg
jude,alla,2019-03-03,2019-10-06,2019-10-30,34,37,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2019-04-20,2019-11-20,2019-12-25,32,32,NA,NA,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2019-09-17,2020-04-20,2020-05-01,23,33,350,325,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
jude,alla,2019-11-17,2020-05-24,2020-06-08,24,34,350,325,/blog/2017/10/17/jude/tree.png,2017/10/17,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/judealla.jpg
zanaka,sunny,2019-12-21,2020-07-17,2020-07-28,28,29,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/10/sunny/tree.png,2019/06/10,/img/ambilobe/zanakasunny.jpg
arti,alla,2019-12-27,2020-07-10,2020-07-31,15,20,375,325,/blog/2020/04/06/arti/tree.png,2020/04/06,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
zanaka,sunny,2020-02-11,2020-08-16,2020-08-19,29,30,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/10/sunny/tree.png,2019/06/10,/img/ambilobe/zanakasunny.jpg
nugget,alla,2020-02-19,2020-08-27,2020-09-18,32,34,375,325,/blog/2019/06/09/nugget/tree.png,2019/06/09,/blog/2018/01/30/alla/tree.png,2018/01/30,/img/ambilobe/nuggetalla.jpg
bleu,patch,2020-03-08,2020-09-12,2020-09-27,29,32,350,325,/blog/2019/07/15/bleu/tree.png,2019/07/15,/blog/2019/06/08/patch/tree.png,2019/06/08,/img/ambilobe/bleupatch.jpg
zanaka,bubbles,2020-03-23,2020-10-15,2020-10-17,37,39,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/08/16/bubbles/tree.png,2019/08/16,/img/ambilobe/zanakabubbles.jpg
zanaka,sunny,2020-04-08,2020-10-18,2020-10-22,33,35,350,325,/blog/2019/08/21/zanaka/tree.png,2019/08/21,/blog/2019/06/10/sunny/tree.png,2019/06/10,/img/ambilobe/zanakasunny.jpg
