id	title	description	price	condition	link	image_link	additional_image_link	availability_date	availability	brand	adult	tax
M3-bibi-mamony-2023-07-09	7 Month-old YBBB Ambilobe Panther Chameleon	7 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	499	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/mamony/2023-07-09/M3/	https://ipardalis.com//img/babies/20230706/M3_1.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-07-09	in_stock	iPardalis	No	US:MD:6.00:n
M1-bibi-mamony-2023-09-16	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	499	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/mamony/2023-09-16/M1/	https://ipardalis.com//img/babies/20230916/M1.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-09-16	in_stock	iPardalis	No	US:MD:6.00:n
F1-bibi-mamony-2023-09-16	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	449	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/mamony/2023-09-16/F1/	https://ipardalis.com//img/babies/20230916/F1.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-09-16	in_stock	iPardalis	No	US:MD:6.00:n
F2-bibi-mamony-2023-09-16	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	399	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/mamony/2023-09-16/F2/	https://ipardalis.com//img/babies/20230916/F2.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-09-16	in_stock	iPardalis	No	US:MD:6.00:n
F3-bibi-mamony-2023-09-16	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	349	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/mamony/2023-09-16/F3/	https://ipardalis.com//img/babies/20230916/F3.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-09-16	in_stock	iPardalis	No	US:MD:6.00:n
F4-bibi-mamony-2023-09-16	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	449	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/mamony/2023-09-16/F4/	https://ipardalis.com//img/babies/20230916/F4.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-09-16	in_stock	iPardalis	No	US:MD:6.00:n
F5-bibi-mamony-2023-09-16	5 Month-old YBBB Ambilobe Panther Chameleon	5 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Mamony. A great F1 group with our WC Bibi x a 4th gen female from Blossom x Amarillo. We've included sire and dam dendrograms if available, but you can view our Bibi or Mamony breeder pages for more information.	349	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/mamony/2023-09-16/F5/	https://ipardalis.com//img/babies/20230916/F5.jpg	https://ipardalis.com//img/ambilobe/bibimamony.jpg	2023-09-16	in_stock	iPardalis	No	US:MD:6.00:n
M2-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco. We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	549	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/pepita/2023-09-21/M2/	https://ipardalis.com//img/babies/20230921/M2_1.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M3-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco. We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	549	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/pepita/2023-09-21/M3/	https://ipardalis.com//img/babies/20230921/M3_1.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M4-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco. We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	499	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/pepita/2023-09-21/M4/	https://ipardalis.com//img/babies/20230921/M4_1.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M5-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco. We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	549	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/pepita/2023-09-21/M5/	https://ipardalis.com//img/babies/20230921/M5_1.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M6-bibi-pepita-2023-09-21	4 Month-old YBBB Ambilobe Panther Chameleon	4 Month-old YBBB Ambilobe Panther Chameleon from Bibi and Pepita. A great F1 group with our WC Bibi x a 5th gen female from Papafee x Coco. We've included sire and dam dendrograms if available, but you can view our Bibi or Pepita breeder pages for more information.	549	New	https://ipardalis.com/panther-chameleons-for-sale/bibi/pepita/2023-09-21/M6/	https://ipardalis.com//img/babies/20230921/M6_1.jpg	https://ipardalis.com//img/ambilobe/bibipepita.jpg	2023-09-21	in_stock	iPardalis	No	US:MD:6.00:n
M2-dia-vaosary-2023-07-05	7 Month-old YBBB Ambilobe Panther Chameleon	7 Month-old YBBB Ambilobe Panther Chameleon from Dia and Vaosary. One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females. We've included sire and dam dendrograms if available, but you can view our Dia or Vaosary breeder pages for more information.	549	New	https://ipardalis.com/panther-chameleons-for-sale/dia/vaosary/2023-07-05/M2/	https://ipardalis.com//img/babies/20230629/M2_1.jpg	https://ipardalis.com//img/ambilobe/diavaosary.jpg	2023-07-05	in_stock	iPardalis	No	US:MD:6.00:n
